Fach,Bezeichnung
Agr, Altgriechisch
Ber,Bereitschaft
Bio,Biologie
CH,Chemie LK
Ch,Chemie
DE,Deutsch LK
D,Deutsch
EK,Erdkunde LK
EN,Englisch LK
ESL,Erweiterte Schulleitung
Ek,Erdkunde
En,Englisch
Eth,Ethik
FSL,Fachseminarleitung
FT,Fitness
Fr,Französisch
GE,Geschichte LK
GT,Gesellschaftstanz
Ge,Geschichte
Gewi,Gesellschaftswissenschaften
ITG,Informationstechnischer Grundkurs
In,Informatik
KU,Kunst LK
Ku,Kunst
LA,Latein LK
La,Latein
MA,Mathematik LK
MU,Musik LK
Ma,Mathematik
Mu,Musik
NGR,Neugriechisch LK
Nawi,Naturwissenschaften
PH,Physik LK
PW,Politikwissenschaft LK
Ph,Physik
Rud,Rudern
SL,Schulleitung
Sp,Sport
TE,Tennis
TT,Tischtennis
agr,Altgriechisch GK
ch,Chemie GK
de,Deutsch GK
ds,Darstellendes Spiel GK
ek,Erdkunde GK
en,Englisch GK
evR,Evangelische Religionslehre
fr,Französisch GK
ge,Geschichte GK
inf,Informatik GK
katR,Katholische Religionslehre
ku,Kunst GK
la,Latein GK
ma,Mathematik GK
mu,Musik GK
ph,Physik GK
pl,Philosophie GK
pw,Politikwissenschaft GK
